2018-08-02 01:59:15,507: Key.up:
2018-08-02 01:59:16,386: Key.right:
2018-08-02 01:59:16,778: Key.down:
2018-08-02 01:59:17,061: Key.left:
2018-08-02 01:59:17,290: Key.right:
2018-08-02 01:59:17,437: Key.up:
2018-08-02 01:59:17,543: Key.left:
2018-08-02 01:59:17,836: Key.right:
2018-08-02 01:59:18,102: Key.down:
2018-08-02 01:59:18,301: Key.left:
2018-08-02 01:59:18,533: Key.up:
2018-08-02 01:59:18,719: Key.right:
2018-08-02 01:59:18,959: Key.down:
2018-08-02 01:59:19,053: Key.left:
2018-08-02 01:59:19,296: Key.right:
2018-08-02 01:59:19,429: Key.up:
2018-08-02 01:59:19,512: Key.left:
2018-08-02 01:59:19,742: Key.right:
2018-08-02 01:59:19,800: Key.down:
2018-08-02 01:59:19,874: Key.left:
2018-08-02 01:59:20,745: Key.esc:
